FILE,BIRD,GROUP
AC1.mer.bam.rmdup.bam,AC1,Modern
AC2.mer.bam.rmdup.bam,AC2,Modern
AC3.mer.bam.rmdup.bam,AC3,Modern
AC4.mer.bam.rmdup.bam,AC4,Modern
AC7.mer.bam.rmdup.bam,AC7,Modern
AC8.mer.bam.rmdup.bam,AC8,Modern
CH10.mer.bam.rmdup.bam,CH10,Modern
CH11.mer.bam.rmdup.bam,CH11,Modern
CH12.mer.bam.rmdup.bam,CH12,Modern
CH13.mer.bam.rmdup.bam,CH13,Modern
CH14.mer.bam.rmdup.bam,CH14,Modern
CH15.mer.bam.rmdup.bam,CH15,Modern
CH16.mer.bam.rmdup.bam,CH16,Modern
CH1.mer.bam.rmdup.bam,CH1,Modern
CH2.mer.bam.rmdup.bam,CH2,Modern
CH3.mer.bam.rmdup.bam,CH3,Modern
CH4.mer.bam.rmdup.bam,CH4,Modern
CH5.mer.bam.rmdup.bam,CH5,Modern
CH6.mer.bam.rmdup.bam,CH6,Modern
CH7.mer.bam.rmdup.bam,CH7,Modern
CH8.mer.bam.rmdup.bam,CH8,Modern
CH9.mer.bam.rmdup.bam,CH9,Modern
HOOKU.mer.bam.rmdup.bam,HOOKU,Modern
HulaliABC.mer.bam.rmdup.bam,HulaliABC,Modern
KEAWE.mer.bam.rmdup.bam,KEAWE,Modern
KINOHE.mer.bam.rmdup.bam,KINOHE,Modern
RCF98-09.mer.bam.rmdup.rescaled.bam,RCF98-09,Historical
RCF98-10.mer.bam.rmdup.rescaled.bam,RCF98-10,Historical
RCF98-11.mer.bam.rmdup.rescaled.bam,RCF98-11,Historical
RCF98-12.mer.bam.rmdup.rescaled.bam,RCF98-12,Historical
RCF98-13.mer.bam.rmdup.rescaled.bam,RCF98-13,Historical
RCF98-15.mer.bam.rmdup.rescaled.bam,RCF98-15,Historical
RCF98-42.mer.bam.rmdup.rescaled.bam,RCF98-42,Historical
RCF98-43.mer.bam.rmdup.rescaled.bam,RCF98-43,Historical
RCF98-44.mer.bam.rmdup.rescaled.bam,RCF98-44,Historical
RCF98-45.mer.bam.rmdup.rescaled.bam,RCF98-45,Historical
RCF98-46.mer.bam.rmdup.rescaled.bam,RCF98-46,Historical
RCF98-47.mer.bam.rmdup.rescaled.bam,RCF98-47,Historical
RCF98-48.mer.bam.rmdup.rescaled.bam,RCF98-48,Historical
RCF98-49.mer.bam.rmdup.rescaled.bam,RCF98-49,Historical
RCF99-17.mer.bam.rmdup.rescaled.bam,RCF99-17,Historical
